t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
1,1,0,2,0,2,3,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,5,2,0,2,3,2,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,5,2,0,2,3,2,1,0
1,2,5,7,2,2,3,2,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,5,2,0,2,3,2,1,0
1,1,5,2,0,2,3,2,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,3,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,2,5,7,2,2,3,2,9,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,3,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,3,1,1,0
1,1,5,2,0,2,3,2,1,0
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
1,1,5,2,0,2,3,2,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,3,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,2,5,7,2,2,3,2,1,0
0,1,4,1,1,1,0,0,0,2
1,2,5,7,2,2,3,2,1,0
1,1,0,2,0,2,3,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,3,1,1,0
1,1,0,2,0,2,0,1,1,0
1,1,5,2,0,2,3,2,1,0
1,1,0,2,0,2,0,1,1,0
1,1,0,2,0,2,0,1,1,0
1,2,5,7,2,2,3,2,9,11
0,1,4,1,1,1,0,0,0,2
1,1,5,2,0,2,3,2,1,0
0,1,4,1,1,1,0,0,0,2
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,3,1,1,0
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,0,2,0,2,0,1,1,0
0,1,4,1,1,1,0,0,0,2
1,1,5,2,0,2,3,2,1,0
1,1,5,2,0,2,3,2,1,0
1,1,5,2,0,2,3,2,1,0
1,1,0,2,0,2,0,1,1,0
